"Date","Transaction type","Description","Paid out","Paid in","Balance"
"06 Jul 2016","Standing order","GRC","£7.00","","£21588.06"
"06 Jul 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£7.74","","£21580.32"
"06 Jul 2016","Visa purchase","ITUNES.COM/BILL ITUNES.COM LU","£0.79","","£21579.53"
"06 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£5.20","","£21574.33"
"06 Jul 2016","Visa purchase","Amazon UK Retail AMAZON.CO.UK LU","£12.03","","£21562.30"
"06 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£22.50","","£21539.80"
"07 Jul 2016","Direct debit SKY DIGITAL","SKY DIGITAL","£81.40","","£21458.40"
"07 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW GB","£3.80","","£21454.60"
"07 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£4.10","","£21450.50"
"07 Jul 2016","Visa purchase Audible Ltd","Audible Ltd AUDIBLE.CO.UK GB","£7.99","","£21442.51"
"08 Jul 2016","ATM Withdrawal LINK","ATM Withdrawal LINK","£40.00","","£21402.51"
"08 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£12.65","","£21389.86"
"09 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£2.35","","£21387.51"
"09 Jul 2016","Visa purchase","MULBERRY STREET LTD GLASGOW G41 2 GB","£31.75","","£21355.76"
"11 Jul 2016","Bank credit PRIZE PAYMENT 3","Bank credit PRIZE PAYMENT 3","","£3.00","£21358.76"
"11 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£4.70","","£21354.06"
"11 Jul 2016","Visa purchase","TESCO STORES 5307 GLASGOW GB","£12.53","","£21341.53"
"11 Jul 2016","Visa purchase","THE WIZARD OF PAWS LTD FENWICK GB","£19.26","","£21322.27"
"11 Jul 2016","Visa purchase","EASYJET 000EQVJM7V LUTON, BEDS GB","£116.60","","£21205.67"
"11 Jul 2016","Visa purchase DNH*GODADDY.COM EUROPE","DNH*GODADDY.COM EUROPE GODADDY.COM GB","£5.99","","£21199.68"
"11 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£7.55","","£21192.13"
"11 Jul 2016","Visa purchase","BOOTS 644 STRATHCLYDE GB","£14.29","","£21177.84"
"11 Jul 2016","Visa purchase","FIVE GUYS SILVERBURN GLASGOW GB","£24.25","","£21153.59"
"11 Jul 2016","Visa purchase","DOROTHY PERKINS GLASGOW GB","£30.05","","£21123.54"
"11 Jul 2016","Visa purchase","SCHUH LTD GLASGOW G53 GB","£108.00","","£21015.54"
"12 Jul 2016","Direct debit VODAFONE LTD","VODAFONE LTD","£31.05","","£20984.49"
"12 Jul 2016","Direct Debit - First Payment DIRECT LINE INS","DIRECT LINE INS","£34.00","","£20950.49"
"12 Jul 2016","Visa purchase","RYANAIR 22400000XRQMN LONDON GB","£307.98","","£20642.51"
"12 Jul 2016","Visa purchase","SAINSBURYS S/MKTS GLASGOW VICTO GB","£20.58","","£20621.93"
"13 Jul 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£5.80","","£20616.13"
"13 Jul 2016","Direct debit PAYPAL PAYMENT","PAYPAL PAYMENT","£8.18","","£20607.95"
"13 Jul 2016","Direct debit HARLANDS","HARLANDS","£9.99","","£20597.96"
